corpus,chunk1,chunk2,chunk3,chunk4
optimista,op,tim,is,ta
tönkretettem,tönkre,te,tt,em
palacsinta,pa,la,csin,ta
palacsinta,pal,ac,sin,ta
fussatok,fu,ss,at,ok
terápiára,te,rá,pi,ára
érdekesebb,ér,deke,se,bb
korlátozott,kor,lát,oz,ott
vállaltam,vá,ll,al,tam
vállaltam,vá,ll,alt,am
egyetemet,eg,ye,te,met
egyetemet,egy,et,em,et
továbblépni,to,vá,bb,lépni
normálisnak,norm,ál,is,nak
születésnapom,szül,et,és,napom
robbanni,ro,bb,an,ni
szülinapom,szül,in,ap,om
karrierje,kar,ri,er,je
abbahagyta,ab,ba,hagy,ta
mainwaring,ma,in,wa,ring
mainwaring,ma,in,war,ing
hitelkártya,hi,tel,kárt,ya
butáskodj,but,ás,ko,dj
állomást,ál,lo,má,st
szálljanak,szál,lj,an,ak
emlékezett,em,lé,keze,tt
csapatokat,csa,pa,to,kat
csapatokat,csa,pa,tok,at
csapatokat,csa,pat,ok,at
csapatokat,csap,at,ok,at
érdekeset,ér,de,ke,set
érdekeset,ér,de,kes,et
istenemre,is,te,nem,re
istenemre,is,ten,em,re
istenemre,ist,en,em,re
tartalak,ta,rt,al,ak
őszinteség,ősz,int,es,ég
projektet,pro,je,kt,et
anyukáddal,an,yu,kád,dal
stratégiai,st,rat,égi,ai
tökéletesek,tök,él,et,esek
menekülés,me,nek,ül,és
rejtette,re,jt,et,te
teremteni,te,rem,te,ni
törölközőt,tör,öl,köz,őt
gondoskodjon,gondos,ko,dj,on
abbahagytam,ab,ba,hagy,tam
robbantani,rob,ban,ta,ni
emberiséget,ember,is,ég,et
tudomásom,tu,do,más,om
tudomásom,tu,dom,ás,om
tudomásom,tud,om,ás,om
baromira,ba,ro,mi,ra
adatbázisban,ad,at,bázis,ban
valamennyit,va,la,men,nyit
valamennyit,va,la,menny,it
valamennyit,va,lam,en,nyit
valamennyit,val,am,en,nyit
küldetésre,küld,et,és,re
emelkedett,emel,ke,de,tt
történetem,tört,én,et,em
temetésen,te,met,és,en
manhattan,man,ha,tt,an
mondanivalóm,mon,da,ni,valóm
végrehajtani,végre,haj,ta,ni
foglaltam,fog,la,lt,am
ugyanazokat,ugy,an,azok,at
ugyanazokat,ugy,ana,zo,kat
ugyanazokat,ugyan,az,ok,at
láthassam,lát,ha,ss,am
emlékeit,em,lé,ke,it
vesztegetni,vesz,te,get,ni
sorrendben,sor,ren,db,en
képességei,kép,ess,ég,ei
képességei,képe,ss,ég,ei
autóbalesetben,au,tó,bal,esetben
unatkozom,una,tk,oz,om
gondoljak,gon,do,lj,ak
panaszkodott,panasz,ko,do,tt
anyukádat,an,yu,kád,at
találjak,ta,lá,lj,ak
egyetértesz,eg,ye,tér,tesz
egyetértesz,eg,ye,tért,esz
egyetértesz,egy,et,ér,tesz
egyetértesz,egy,et,ért,esz
hungarian,hun,ga,ri,an
titkosszolgálat,ti,tk,os,szolgálat
látogató,lá,to,ga,tó
hallottatok,hall,ot,ta,tok
hallottatok,hall,ott,at,ok
hallottatok,hallo,tt,at,ok
tanácsokat,tan,ács,ok,at
bostonban,bo,st,on,ban
jelentkezni,jelen,tk,ez,ni
épületből,ép,ül,et,ből
tengerészgyalogos,tenger,ész,gyalog,os
házasságom,háza,ss,ág,om
hivatásos,hiv,at,ás,os
képviselője,kép,vi,se,lője
hatalommal,ha,tal,om,mal
hatalommal,hat,al,om,mal
magányosan,mag,án,yo,san
ablakokat,ab,la,ko,kat
alkotott,al,ko,to,tt
rajtatok,ra,jt,at,ok
mondogatta,mon,dog,at,ta
érdekeit,ér,de,ke,it
instabil,in,st,ab,il
keletkezett,kel,et,keze,tt
kerékvágásba,kerék,vág,ás,ba
anyagokat,an,ya,go,kat
mondanivalója,mon,da,ni,valója
mondanivalója,mon,dani,való,ja
mondanivalója,monda,ni,való,ja
mondanivalója,mondani,va,ló,ja
tartottad,ta,rt,ot,tad
tartottad,ta,rt,ott,ad
világegyetem,világ,egy,et,em
mellkasi,me,ll,ka,si
hozzászoktam,hozz,ász,ok,tam
washingtoni,wa,sh,ing,toni
washingtoni,wa,shing,to,ni
washingtoni,wash,ing,to,ni
papírmunka,pap,ír,mun,ka
karriered,kar,ri,er,ed
fiatalúr,fi,at,al,úr
munkahelyen,mun,ka,hel,yen
munkahelyen,mun,ka,hely,en
fogadjuk,fo,ga,dj,uk
évszázadok,év,száz,ad,ok
roosevelt,ro,os,eve,lt
roosevelt,roo,se,ve,lt
csinálhatod,csi,nál,ha,tod
csinálhatod,csin,ál,ha,tod
bűntudatom,bűn,tu,da,tom
bűntudatom,bűn,tud,at,om
eszközöket,esz,köz,ök,et
várakozás,vá,rak,oz,ás
várakozás,vár,ak,oz,ás
napjainkban,napja,in,kb,an
okozhatta,ok,oz,hat,ta
autópálya,au,tó,pál,ya
csinálhatok,csi,nál,ha,tok
csinálhatok,csi,nál,hat,ok
csinálhatok,csin,ál,ha,tok
csinálhatok,csin,ál,hat,ok
erősíteni,erő,sí,te,ni
együttműködni,együtt,mű,köd,ni
hallgattál,hall,ga,tt,ál
érettségi,ér,et,ts,égi
szemedben,sze,me,db,en
kétséges,ké,ts,ég,es
valentine,val,en,ti,ne
madarakat,ma,da,ra,kat
madarakat,ma,da,rak,at
madarakat,ma,dar,ak,at
abbahagyom,ab,ba,hagy,om
szórakoznak,szó,rak,oz,nak
szórakoznak,szór,ak,oz,nak
ismerősöm,is,mer,ős,öm
váltságdíjat,válts,ág,díj,at
egyenruhában,egyen,ru,há,ban
virtuális,vir,tu,ál,is
lakosság,la,ko,ss,ág
ugyanabba,ugy,an,ab,ba
életemre,él,et,em,re
szabadnapot,szab,ad,nap,ot
vadonatúj,va,do,nat,új
vadonatúj,va,don,at,új
vadonatúj,vad,on,at,új
holttesteket,ho,lt,teste,ket
holttesteket,ho,lt,testek,et
holttesteket,ho,ltt,este,ket
holttesteket,ho,ltt,estek,et
holttesteket,hol,tt,este,ket
holttesteket,hol,tt,estek,et
szektorban,sze,kt,or,ban
fényképezte,fény,kép,ez,te
műveletet,mű,vel,et,et
testemet,te,st,em,et
borzalmasan,borz,al,ma,san
borzalmasan,borz,al,mas,an
álmodban,ál,mo,db,an
dokumentum,do,ku,ment,um
patterson,pa,tt,er,son
titkárnő,ti,tk,ár,nő
nyomozásban,nyom,oz,ás,ban
templomi,te,mp,lo,mi
aktuális,ak,tu,ál,is
dehogyisnem,de,hogy,is,nem
egyetemről,egy,et,em,ről
vallotta,va,ll,ot,ta
alkalmazottak,alkalma,zo,tt,ak
kapcsolatokat,kapcsol,at,ok,at
martinez,ma,rt,in,ez
javasoltam,ja,va,sol,tam
javasoltam,java,so,lt,am
professzort,pro,fess,zo,rt
professzort,prof,ess,zo,rt
küldetésen,küld,et,és,en
fordultak,for,du,lt,ak
munkahelyén,mun,ka,hely,én
olyanokkal,oly,an,ok,kal
segíthettem,segít,he,tt,em
álmodott,ál,mo,do,tt
fájdalommal,fáj,dal,om,mal
mentálisan,men,tál,is,an
mentálisan,ment,ál,is,an
sebességet,seb,ess,ég,et
sebességet,sebe,ss,ég,et
örökkévalóság,örök,ké,valós,ág
kettőtök,ke,tt,őt,ök
mulatság,mu,la,ts,ág
középiskolai,közép,is,kol,ai
egyetemista,egyet,em,is,ta
sivatagi,si,va,ta,gi
holtteste,ho,ltt,es,te
holtteste,hol,tt,es,te
vezérigazgató,vezér,igaz,ga,tó
tudjanak,tu,dj,an,ak
autóbaleset,au,tó,bal,eset
autóbaleset,autó,bal,es,et
útvonalat,út,von,al,at
marjorie,ma,rj,or,ie
hivatalban,hi,va,tal,ban
hivatalban,hiv,at,al,ban
akármikor,ak,ár,mi,kor
akármikor,ak,ár,mik,or
állapotba,ál,lap,ot,ba
állapotba,áll,ap,ot,ba
kerülhetett,kerül,he,te,tt
gondolhatod,gon,dol,ha,tod
ilyesmiket,il,yes,mi,ket
ilyesmiket,il,yes,mik,et
ilyesmiket,ily,es,mi,ket
ilyesmiket,ily,es,mik,et
végignézni,vég,ig,néz,ni
takarodjon,ta,ka,rod,jon
mutasson,mu,ta,ss,on
vállalatot,váll,al,at,ot
jelenlétét,jel,en,lé,tét
küldetésem,küld,et,és,em
gondolatot,gon,dol,at,ot
tanácsadója,tan,ács,adó,ja
haditengerészet,ha,di,tengerész,et
haditengerészet,hadi,tenger,ész,et
emlékeztess,emlék,ez,te,ss
kettőkor,ke,tt,ők,or
barátainak,ba,rá,tai,nak
örökkévalóságig,örök,ké,valóság,ig
örökkévalóságig,örökké,valós,ág,ig
bizalmasan,biz,al,ma,san
bizalmasan,biz,al,mas,an
nővéremet,nő,vér,em,et
viseltem,vi,se,lt,em
igazgatóval,igaz,ga,tó,val
igazgatónak,igaz,ga,tó,nak
mentettem,men,te,tt,em
igazgatónő,igaz,ga,tó,nő
szórakoztam,szó,rak,oz,tam
szórakoztam,szór,ak,oz,tam
változások,vá,lt,oz,ások
változások,vált,oz,ás,ok
érdemled,ér,de,ml,ed
hallgassuk,hall,ga,ss,uk
franciaországba,fran,cia,ország,ba
gondoljatok,gon,dol,ja,tok
kétségem,ké,ts,ég,em
szórakozott,szó,rak,oz,ott
szórakozott,szór,ak,oz,ott
szórakozott,szóra,ko,zo,tt
temetésén,te,met,és,én
ruháimat,ru,há,im,at
értesíteni,érte,sí,te,ni
madeline,ma,de,li,ne
időszakon,id,ős,zak,on
időszakon,id,ősz,ak,on
totálisan,to,tál,is,an
adrenalin,ad,re,na,lin
adrenalin,ad,ren,al,in
alattomos,al,at,to,mos
alattomos,al,at,tom,os
magasság,ma,ga,ss,ág
tiszteletreméltó,tisztel,et,re,méltó
tiszteletreméltó,tisztel,et,remél,tó
tiszteletreméltó,tisztelet,rem,él,tó
terapeuta,te,rap,eu,ta
hívásokat,hív,ás,ok,at
repülőtéren,repül,őt,ér,en
tulajdon,tu,la,jd,on
katonának,ka,ton,án,ak
katonának,kat,on,án,ak
égvilágon,ég,vi,lá,gon
juthatott,jut,ha,to,tt
végigcsinálni,vég,ig,csinál,ni
végigcsinálni,végig,csi,nál,ni
végigcsinálni,végig,csin,ál,ni
hunsubbyme,hun,sub,by,me
baráttal,ba,rá,tt,al
emlékeztetett,emlék,ez,te,tett
ártatlannak,árt,at,lan,nak
szakítottatok,szakít,ot,ta,tok
szakítottatok,szakít,ott,at,ok
vádlottat,vád,lo,tt,at
változtak,vá,lt,oz,tak
hallotok,ha,ll,ot,ok
ugyanolyanok,ugy,an,olyan,ok
ugyanolyanok,ugyan,oly,an,ok
valódiak,va,ló,di,ak
találtok,ta,lá,lt,ok
melyikőtök,mel,yi,kő,tök
főiskolás,fő,is,kol,ás
törvényeket,tör,vén,ye,ket
katonaság,ka,ton,as,ág
katonaság,kat,on,as,ág
biztosítom,biz,to,sí,tom
depresszió,de,pr,es,szió
hetekben,he,te,kb,en
hónapokkal,hó,nap,ok,kal
halottat,ha,lo,tt,at
merészeli,me,ré,sze,li
szívrohama,szív,ro,ha,ma
fájdalomtól,fáj,dal,om,tól
menedzsere,men,edz,se,re
sugallja,su,ga,ll,ja
sorozatban,so,roz,at,ban
sorozatban,sor,oz,at,ban
alkalmazottja,alkalma,zo,tt,ja
ismerősen,is,mer,ős,en
tehettél,te,he,tt,él
végtelenül,vég,tel,en,ül
dobozokat,do,bo,zo,kat
dobozokat,dob,oz,ok,at
keressem,ke,re,ss,em
időszakban,id,ős,zak,ban
időszakban,id,ősz,ak,ban
mesterem,me,st,er,em
szórakozom,szó,rak,oz,om
szórakozom,szór,ak,oz,om
létrehozott,lét,re,hoz,ott
létrehozott,létre,ho,zo,tt
történeted,tört,én,et,ed
sikertelen,sik,er,tel,en
kellemesen,ke,ll,eme,sen
kellemesen,kell,em,es,en
képességed,kép,ess,ég,ed
képességed,képe,ss,ég,ed
kérdezősködni,kérdez,ős,köd,ni
informátor,in,for,má,tor
informátor,in,for,mát,or
láthattam,lát,ha,tt,am
követelem,kö,ve,tel,em
képességem,kép,ess,ég,em
képességem,képe,ss,ég,em
javaslatom,ja,vas,la,tom
tartozni,ta,rt,oz,ni
próbálkozott,próbál,ko,zo,tt
kamerával,ka,me,rá,val
történetnek,tört,én,et,nek
ismertél,is,me,rt,él
valamitől,va,la,mi,től
értesültem,ér,te,sült,em
értesültem,ért,es,ült,em
takarodjatok,ta,karod,ja,tok
rengetegen,ren,get,eg,en
álmaimban,ál,ma,im,ban
valamije,va,la,mi,je
halottam,ha,lo,tt,am
testvériség,test,vér,is,ég
gondolata,gon,do,la,ta
doktornak,do,kt,or,nak
szellemes,sze,ll,em,es
mindannyiukat,mind,annyi,uk,at
törülközőt,tör,ül,köz,őt
ezredest,ez,re,de,st
rendőrségnél,rend,őrs,ég,nél
darabokat,da,ra,bo,kat
darabokat,da,ra,bok,at
darabokat,da,rab,ok,at
darabokat,dar,ab,ok,at
hallanom,ha,ll,an,om
gondolkodjon,gondol,ko,dj,on
tartsanak,ta,rt,sa,nak
tartsanak,ta,rt,san,ak
fokozatosan,fok,oz,at,osan
dollárra,do,ll,ár,ra
festette,fe,st,et,te
állatokkal,ál,la,tok,kal
állatokkal,áll,at,ok,kal
rátaláltam,rá,tal,ál,tam
merészelj,me,ré,sze,lj
mondanivalód,mon,da,ni,valód
őrületes,őr,ül,et,es
akadálya,ak,ad,ál,ya
anyukámat,any,uk,ám,at
fiatalnak,fi,at,al,nak
barátokkal,ba,rá,tok,kal
közismert,köz,is,me,rt
tartozok,ta,rt,oz,ok
vereséget,ver,es,ég,et
fáradjanak,fára,dj,an,ak
rátalált,rá,ta,lá,lt
romantika,ro,man,ti,ka
romantika,rom,an,ti,ka
pasassal,pa,sa,ss,al
kamerába,ka,me,rá,ba
emlékezetes,em,lé,kezet,es
emlékezetes,emlék,ez,et,es
normálisak,norm,ál,is,ak
ennivaló,en,ni,va,ló
italokat,it,al,ok,at
titoktartás,ti,tok,tart,ás
titoktartás,tito,kt,art,ás
titoktartás,titok,ta,rt,ás
gondoltak,gon,do,lt,ak
középkori,köz,ép,ko,ri
másolata,má,so,la,ta
viselkedjen,visel,ke,dj,en
romokban,ro,mo,kb,an
hallgató,ha,ll,ga,tó
mutattak,mu,ta,tt,ak
maradványait,mar,ad,ványa,it
törvényesen,tör,vén,ye,sen
törvényesen,tör,vén,yes,en
juttatta,ju,tt,at,ta
képmutató,kép,mu,ta,tó
kerested,ke,re,st,ed
mihamarabb,mi,ha,mara,bb
mihamarabb,mi,ham,ara,bb
hazajöttél,ha,zaj,öt,tél
szemeteket,sze,me,te,ket
rajtaütés,raj,ta,üt,és
unokahúga,un,oka,hú,ga
unokahúga,uno,ka,hú,ga
intelligencia,in,tell,igen,cia
abbahagyja,ab,ba,hagy,ja
veszélyezteti,veszély,ez,te,ti
észrevett,ész,re,ve,tt
protokollt,pr,ot,okol,lt
protokollt,pro,to,kol,lt
halottakat,hal,ot,ta,kat
halottakat,hal,ot,tak,at
halottakat,hal,ott,ak,at
halottakat,halo,tt,ak,at
szabályait,szab,ál,ya,it
tökéletesnek,tök,él,et,esnek
tökéletesnek,tök,élet,es,nek
hivatott,hi,va,to,tt
ugyanannyi,ugy,an,ann,yi
martinit,ma,rt,in,it
hivatali,hi,va,ta,li
bizonyosan,biz,on,yo,san
tartottál,ta,rt,ot,tál
tartottál,ta,rt,ott,ál
indultak,in,du,lt,ak
munkahelyemen,mun,ka,helye,men
munkahelyemen,mun,ka,helyem,en
munkahelyemen,munka,hel,ye,men
munkahelyemen,munka,hely,em,en
kutattam,ku,ta,tt,am
szeretetre,szer,et,et,re
nehezemre,ne,hez,em,re
hónapokban,hó,nap,ok,ban
testület,te,st,ül,et
művészetet,mű,vész,et,et
életeddel,él,et,ed,del
veszélyesnek,ve,szél,yes,nek
veszélyesnek,vesz,él,yes,nek
repülőtérre,repül,őt,ér,re
vetettem,ve,te,tt,em
menekülnek,me,nek,ül,nek
miattatok,mi,at,ta,tok
miattatok,mia,tt,at,ok
forradalmi,for,ra,dal,mi
forradalmi,forr,ad,al,mi
csapatának,csa,pa,tán,ak
csapatának,csa,pat,án,ak
csapatának,csap,at,án,ak
keveredtél,ke,ve,red,tél
keveredtél,ke,ver,ed,tél
keveredtél,kev,er,ed,tél
segítségemet,segíts,ég,em,et
sikerüljön,sik,er,ül,jön
sikerüljön,sik,er,ülj,ön
egyenest,eg,ye,ne,st
hasonlóak,ha,son,ló,ak
hasonlóak,has,on,ló,ak
nyugodjatok,nyu,god,ja,tok
ügyvédemet,ügy,véd,em,et
baktérium,ba,kt,éri,um
valakinél,val,ak,in,él
mindennapos,min,den,na,pos
mindennapos,min,den,nap,os
mindennapos,mind,en,na,pos
mindennapos,mind,en,nap,os
tartottuk,ta,rt,ott,uk
szórakoztok,szó,rak,oz,tok
szórakoztok,szór,ak,oz,tok
barátokra,ba,rá,tok,ra
hálózatot,hál,óz,at,ot
következett,kö,vet,keze,tt
helyettese,hely,et,te,se
házasságra,háza,ss,ág,ra
bocsánatkérést,bo,csá,nat,kérést
bocsánatkérést,bocs,án,at,kérést
bocsánatkérést,bocsánat,ké,ré,st
húgommal,hú,go,mm,al
képeslapot,kép,es,lap,ot
alacsonyan,al,ac,son,yan
teljesíti,tel,je,sí,ti
marianne,ma,ri,an,ne
rendelést,ren,de,lé,st
tarthatjuk,tart,ha,tj,uk
emlékeztetnem,emlék,ezt,et,nem
tetthelyen,te,tt,hel,yen
tetthelyen,te,tt,hely,en
tudtommal,tud,to,mm,al
hatalomra,ha,tal,om,ra
hatalomra,hat,al,om,ra
dolgaimat,dol,ga,im,at
valamihez,va,la,mi,hez
sheridan,sh,er,id,an
igazatok,ig,az,at,ok
alighanem,al,ig,ha,nem
alighanem,al,ig,han,em
kapjanak,ka,pj,an,ak
balesetnek,bal,es,et,nek
adhatjuk,ad,ha,tj,uk
partnered,pa,rt,ne,red
fordultam,for,du,lt,am
munkatársa,mun,ka,tár,sa
munkatársa,mun,kat,ár,sa
életemről,él,et,em,ről
dollárom,do,ll,ár,om
érdemelte,ér,de,mel,te
juttatott,ju,tt,at,ott
juttatott,jut,ta,to,tt
mindenekelőtt,mindene,ke,lő,tt
raboltak,ra,bo,lt,ak
papírjait,pap,ír,ja,it
akartatok,ak,art,at,ok
akartatok,aka,rt,at,ok
butaságot,but,as,ág,ot
egyvalamit,egy,va,la,mit
egyvalamit,egy,va,lam,it
egyvalamit,egy,val,am,it
randizott,ran,di,zo,tt
magukban,ma,gu,kb,an
ajánlata,aj,án,la,ta
változat,vá,lt,oz,at
szeretete,sze,re,te,te
valamelyikőtök,val,amelyik,őt,ök
valamelyikőtök,vala,melyik,őt,ök
hálaadáskor,há,la,adás,kor
hálaadáskor,hála,ad,ás,kor
maradhatnak,mar,ad,hat,nak
vesztegeted,vesz,te,get,ed
rendőrökkel,rend,őr,ök,kel
játszadozni,játsz,ad,oz,ni
másodjára,má,so,dj,ára
barátjuk,ba,rá,tj,uk
szeressen,sze,re,ss,en
látnivaló,lát,ni,va,ló
futottál,fu,to,tt,ál
köszönheti,kösz,ön,he,ti
ilyenekkel,il,ye,nek,kel
nadrágom,na,dr,ág,om
iskolának,is,ko,lá,nak
iskolának,is,kol,án,ak
valószínűbb,va,ló,színű,bb
tudomása,tu,do,má,sa
autobotok,au,to,bo,tok
autobotok,au,to,bot,ok
valamennyire,va,la,mennyi,re
valamennyire,va,lam,ennyi,re
valamennyire,val,am,ennyi,re
magyarázod,mag,ya,rá,zod
javasolni,ja,va,sol,ni
hazajönni,ha,zaj,ön,ni
főnökével,fő,nö,ké,vel
kétséget,ké,ts,ég,et
költészet,kö,lt,ész,et
találjanak,tal,ál,ja,nak
találjanak,tal,ál,jan,ak
csinálhatom,csi,nál,ha,tom
csinálhatom,csi,nál,hat,om
csinálhatom,csin,ál,ha,tom
csinálhatom,csin,ál,hat,om
amilyenek,am,il,ye,nek
tizenhárom,ti,zen,há,rom
tizenhárom,ti,zen,hár,om
koporsóban,ko,por,só,ban
csinosabb,csi,no,sa,bb
állatkert,áll,at,ke,rt
tartalmát,ta,rt,al,mát
együttműködés,együtt,mű,köd,és
hadseregnek,had,se,reg,nek
hadseregnek,had,ser,eg,nek
életedből,él,et,ed,ből
teljesítettem,tel,je,sí,tettem
bostonba,bo,st,on,ba
titkárnője,ti,tk,ár,nője
kapcsolj,ka,pc,so,lj
tárgyalások,tárgy,al,ás,ok
valamerre,va,la,mer,re
valamerre,va,lam,er,re
valamerre,val,am,er,re
igazgatóhelyettes,igaz,ga,tó,helyettes
igazgatóhelyettes,igazgató,helye,tt,es
kapcsoló,ka,pc,so,ló
tudhattad,tud,ha,tt,ad
birtokot,bi,rt,ok,ot
csapatmunka,csa,pat,mun,ka
csapatmunka,csap,at,mun,ka
csapatmunka,csap,atm,un,ka
törvényellenes,törvénye,ll,en,es
jelentheti,jel,en,the,ti
neveltem,ne,ve,lt,em
nyugodjanak,nyu,god,ja,nak
nyugodjanak,nyu,god,jan,ak
haláleset,hal,ál,es,et
látomásom,lá,to,más,om
látomásom,lá,tom,ás,om
látomásom,lát,om,ás,om
házigazda,ház,ig,az,da
tartsatok,ta,rt,sa,tok
máshonnan,má,sh,onn,an
olyasvalakit,oly,as,val,akit
olyasvalakit,olyas,val,ak,it
követeli,kö,ve,te,li
national,na,ti,on,al
hajlamosak,haj,la,mos,ak
hajlamosak,haj,lam,os,ak
ugyanabból,ugy,an,ab,ból
változtam,vá,lt,oz,tam
barátnőjének,barát,nő,jé,nek
születésnapjára,szül,et,és,napjára
születésnapjára,születés,na,pj,ára
telefonokat,tele,fo,no,kat
bűntudata,bűn,tu,da,ta
riporterek,ri,po,rt,erek
vallottam,va,ll,ot,tam
vallottam,va,ll,ott,am
vallottam,val,lo,tt,am
testedet,te,st,ed,et
fejezetet,fej,ez,et,et
születésnapod,szül,et,és,napod
jelentkeztél,jelen,tk,ez,tél
jelentkeztél,jelen,tk,ezt,él
határtalan,ha,tár,ta,lan
határtalan,ha,tár,tal,an
határtalan,ha,tárt,al,an
határtalan,hat,ár,ta,lan
határtalan,hat,ár,tal,an
határtalan,hat,árt,al,an
jeremiah,je,re,mi,ah
javasolt,ja,va,so,lt
partnert,pa,rt,ne,rt
parancsait,pa,ran,csa,it
parancsait,par,an,csa,it
hozzászokva,hozz,ász,ok,va
rávettem,rá,ve,tt,em
finomabb,fi,no,ma,bb
haldoklott,hal,dok,lo,tt
gondolkodott,gondol,ko,do,tt
kolumbiai,kol,um,bi,ai
olyannyira,oly,ann,yi,ra
erőszakra,er,ős,zak,ra
erőszakra,er,ősz,ak,ra
keveréke,ke,ve,ré,ke
nyilvántartásban,nyilván,tart,ás,ban
bűntudatod,bűn,tu,da,tod
főnökének,fő,nö,ké,nek
erőltetni,erő,lt,et,ni
helyettesíteni,helyette,sí,te,ni
bútorokat,bú,to,ro,kat
bútorokat,bú,tor,ok,at
gondolatai,gon,do,la,tai
gondolatai,gon,dol,at,ai
szeretetét,sze,re,te,tét
találgassak,talál,ga,ss,ak
történetének,tört,én,et,ének
kapcsolom,ka,pc,sol,om
szervezetet,szerv,ez,et,et
gondolatom,gon,do,la,tom
gondolatom,gon,dol,at,om
garantálja,ga,ran,tál,ja
társaságban,tár,sas,ág,ban
társaságban,társ,as,ág,ban
nyugalomra,nyu,gal,om,ra
tudatosan,tu,da,to,san
tudatosan,tud,at,os,an
menekülök,me,nek,ül,ök
mindannyiuknak,mind,annyi,uk,nak
ruháidat,ru,há,id,at
hozzászokni,hozz,ász,ok,ni
hazajövök,ha,zaj,öv,ök
kocsimmal,ko,csi,mm,al
nevettem,ne,ve,tt,em
cardassiai,car,das,si,ai
eresszenek,er,es,sze,nek
menekültem,me,nek,ült,em
hordozható,hord,oz,ha,tó
jelentenem,jel,en,te,nem
jelentenem,jel,en,ten,em
kétségbeesés,ké,ts,égbe,esés
rontottam,ron,to,tt,am
gyerekkorában,gyerek,ko,rá,ban
üzemanyagot,üzem,an,ya,got
istenien,is,te,ni,en
véleményemet,vélem,én,ye,met
morfiumot,mor,fi,um,ot
rajzoltam,raj,zo,lt,am
kalapácsot,ka,lap,ács,ot
kalapácsot,kal,ap,ács,ot
fájdalomra,fáj,dal,om,ra
ugyanazért,ugy,an,az,ért
ugyanazért,ugy,an,azé,rt
profitot,pr,of,it,ot
gondolhattam,gon,dol,hat,tam
gondolhattam,gondol,ha,tt,am
változtass,vált,oz,ta,ss
kereskedelem,keres,ke,del,em
egyszemélyes,egy,sze,mély,es
egyszemélyes,egy,szem,él,yes
érinteni,ér,in,te,ni
rodriguez,rod,ri,gu,ez
nyomkövetőt,nyom,kö,vet,őt
jelentettem,jel,en,tett,em
jelentettem,jelen,te,tt,em
mindenemet,min,de,ne,met
mindenemet,min,de,nem,et
mindenemet,min,den,em,et
mindenemet,mind,en,em,et
facebookon,face,bo,ok,on
valamiből,va,la,mi,ből
magukért,ma,gu,ké,rt
salvatore,sal,va,to,re
alapozva,al,ap,oz,va
alezredes,al,ez,re,des
alezredes,al,ez,red,es
mobilján,mo,bi,lj,án
telitalálat,te,li,talál,at
telitalálat,tel,ital,ál,at
telitalálat,teli,tal,ál,at
hallanám,ha,ll,an,ám
érdekeljen,ér,de,kel,jen
érdekeljen,ér,de,kelj,en
érdekeljen,ér,deke,lj,en
alkalmanként,al,kal,man,ként
akcentussal,ak,cent,us,sal
akcentussal,ak,cent,uss,al
hollywoodban,holly,woo,db,an
fulladás,fu,ll,ad,ás
életforma,él,et,for,ma
kempingezni,kemp,ing,ez,ni
választottuk,válasz,to,tt,uk
voltaképpen,volt,ak,ép,pen
voltaképpen,volt,ak,épp,en
szavazatokat,szavaz,at,ok,at
érintette,ér,int,et,te
mondhattad,mond,ha,tt,ad
ablakban,ab,la,kb,an
haverjai,ha,ve,rj,ai
magatoknak,ma,ga,tok,nak
magatoknak,mag,at,ok,nak
másodikat,má,so,di,kat
testvéredet,te,st,véred,et
testvéredet,test,vér,ed,et
gondolhatja,gon,dol,hat,ja
makulátlan,ma,ku,lát,lan
segítségedet,segíts,ég,ed,et
családjuk,csa,lá,dj,uk
németországba,né,met,ország,ba
fiatalembert,fi,at,al,embert
emlékeid,em,lé,ke,id
ránézésre,rá,néz,és,re
annalise,an,na,li,se
tartoztam,ta,rt,oz,tam
vállalatok,váll,al,at,ok
társadalomban,tár,sa,dalom,ban
társadalomban,társa,dal,om,ban
társadalomban,társad,al,om,ban
garibaldi,ga,ri,bal,di
karjaiban,ka,rj,ai,ban
ügynököket,ügy,nö,kö,ket
születésnapján,szül,et,és,napján
születésnapján,születés,na,pj,án
munkatársam,mun,ka,tár,sam
munkatársam,mun,ka,társ,am
munkatársam,mun,kat,ár,sam
pompásan,po,mp,ás,an
növényeket,nö,vén,ye,ket
nyugodtabb,nyu,god,ta,bb
társaságnak,tár,sas,ág,nak
társaságnak,társ,as,ág,nak
juttatja,ju,tt,at,ja
alexandra,al,ex,and,ra
magazinban,ma,gaz,in,ban
magazinban,mag,az,in,ban
érdekesen,ér,de,ke,sen
érdekesen,ér,de,kes,en
változásokat,vált,oz,ások,at
szörnyeteget,szörny,et,eg,et
helytelenül,hely,tel,en,ül
világomban,vi,lá,gomb,an
gyerekekért,gyere,ke,ké,rt
mehettem,me,he,tt,em
mutattál,mu,ta,tt,ál
sokmindent,so,km,in,dent
állásomat,áll,ás,om,at
köszönheted,kösz,ön,he,ted
láthattad,lát,ha,tt,ad
ilyesfajta,il,yes,faj,ta
ilyesfajta,ily,es,faj,ta
kabátomat,ka,bá,tom,at
rémálmaim,rém,ál,ma,im
tettetni,te,tt,et,ni
nagymamája,nagy,ma,má,ja
adósságot,adó,ss,ág,ot
gondolatokat,gondol,at,ok,at
lassítson,las,sí,ts,on
mondjatok,mon,dj,at,ok
rendőrséghez,rend,őrs,ég,hez
