corpus,chunk1,chunk2,chunk3,score,joke
halálosan,halál,os,an,,
vártak,vá,rt,ak,,
képesség,kép,ess,ég,,
képesség,képe,ss,ég,,
houston,ho,us,ton,,
lépésre,lép,és,re,2,
hálaadás,há,la,adás,,
hálaadás,hála,ad,ás,,
sutton,su,tt,on,,
egyenként,eg,yen,ként,,
egyenként,egy,en,ként,3,egy en ként
rendelni,ren,del,ni,,
fontosnak,font,os,nak,,
barlangban,bar,lang,ban,,
holnapután,hol,nap,után,3,hol nap után
építette,épít,et,te,,
mindenből,min,den,ből,,
mindenből,mind,en,ből,2,
késett,ké,se,tt,,
rejtve,re,jt,ve,,
csapattal,csa,pat,tal,,
csapattal,csap,at,tal,,
használhatatlan,használhat,at,lan,,
julius,ju,li,us,,
választottak,választ,ot,tak,,
választottak,választ,ott,ak,2,
fuvart,fu,va,rt,,
ejtette,ejt,et,te,,
bármiféle,bár,mi,féle,3,bár mi féle
intézte,int,éz,te,,
barátnőjével,barátnő,jé,vel,,
formája,for,má,ja,,
hálózat,hál,óz,at,,
rendelte,ren,del,te,,
bocsássatok,bocs,ássa,tok,,
bocsássatok,bocsáss,at,ok,,
tagadja,tag,ad,ja,,
időnket,id,őn,ket,,
szabadlábra,szab,ad,lábra,,
szabadlábra,szabad,láb,ra,2,
haldokló,hal,dok,ló,,
vallott,va,ll,ott,,
vallott,val,lo,tt,,
hálátlan,há,lát,lan,,
támadásra,támad,ás,ra,,
okosak,ok,os,ak,,
bizalmát,biz,al,mát,,
lábaim,lá,ba,im,,
barátnőmet,barát,nő,met,,
barátnőmet,barát,nőm,et,,
fiadat,fi,ad,at,,
ajtóhoz,aj,tó,hoz,,
mindenek,min,de,nek,2,
kelteni,kel,te,ni,,
érdekesnek,érdek,es,nek,,
másikkal,má,sik,kal,,
haltam,ha,lt,am,,
mindenhová,min,den,hová,,
mindenhová,mind,en,hová,2,
mindenhová,minden,ho,vá,,
kocsira,ko,csi,ra,,
kocsikat,ko,csi,kat,,
művelnek,mű,vel,nek,2,
vasárnapi,va,sár,napi,,
vasárnapi,vas,ár,napi,,
mindkettőtöknek,mind,kettőtök,nek,2,
mindkettőtöknek,mindkettő,tök,nek,,
mindkettőtöknek,mindkettőt,ök,nek,,
lábamat,lá,bam,at,,
lábamat,láb,am,at,,
máshoz,má,sh,oz,,
olyankor,oly,an,kor,,
ízlése,íz,lé,se,,
valamibe,va,la,mibe,,
értéktelen,érték,tel,en,,
tudhatom,tud,ha,tom,3,tud ha tom
tudhatom,tud,hat,om,2,
másiknak,má,sik,nak,,
istenhez,is,ten,hez,2,
istenhez,ist,en,hez,2,
powell,po,we,ll,,
akárhol,ak,ár,hol,,
lucifer,luc,if,er,,
sereget,se,re,get,2,
sereget,se,reg,et,,
sereget,ser,eg,et,,
játékokat,játék,ok,at,,
magadból,mag,ad,ból,,
családomnak,család,om,nak,2,
állása,ál,lá,sa,,
estéjén,est,éj,én,,
fájdalmai,fáj,dal,mai,3,fáj dal mai
törölni,tör,öl,ni,,
internetes,int,er,netes,,
magamon,ma,ga,mon,,
magamon,mag,am,on,,
kezelésre,kezel,és,re,2,
viccesnek,vicc,es,nek,,
teremtett,te,rem,tett,2,
teremtett,terem,te,tt,,
nyakláncot,nyak,lánc,ot,,
hazaértem,haza,ért,em,2,
embereimet,ember,ei,met,,
embereimet,embere,im,et,,
borravalót,bor,ra,valót,,
biztonságiakat,biztonsági,ak,at,,
irakban,ira,kb,an,,
lakbért,la,kb,ért,,
tavasszal,ta,vas,szal,,
gyerekeimet,gyere,kei,met,,
gyerekeimet,gyerek,ei,met,,
gyerekeimet,gyereke,im,et,,
hallottalak,hall,ott,alak,,
hallottalak,hallo,tt,alak,,
hallottalak,hallott,al,ak,,
pillanattól,pil,lan,attól,,
látásra,lát,ás,ra,,
bármivel,bár,mi,vel,3,bár mi vel
vitted,vi,tt,ed,,
emberekben,embere,kb,en,,
bűntudatot,bűn,tudat,ot,,
nevetett,ne,ve,tett,,
nevetett,neve,te,tt,2,
nagydarab,nagy,da,rab,,
nagydarab,nagy,dar,ab,,
műtétre,mű,tét,re,,
semmiképpen,sem,mi,képpen,2,
semmiképpen,sem,mik,éppen,2,
semmiképpen,sem,miképp,en,2,
semmiképpen,semmi,kép,pen,2,
semmiképpen,semmik,ép,pen,,
semmiképpen,semmik,épp,en,2,
állhatom,áll,ha,tom,3,áll ha tom
állhatom,áll,hat,om,2,
csinálnál,csi,nál,nál,2,
csinálnál,csin,ál,nál,,
holnaptól,hol,nap,tól,3,hol nap tól
csendesen,csend,es,en,,
öngyilkosságot,ön,gyilkossá,got,,
öngyilkosságot,ön,gyilkosság,ot,,
mindaddig,mind,add,ig,2,
személyre,sze,mély,re,,
hotelt,ho,te,lt,,
világszerte,világ,szer,te,2,
mobilt,mo,bi,lt,,
intézet,int,éz,et,,
alkalmi,al,kal,mi,,
hallgassatok,hallgass,at,ok,,
mindenáron,min,den,áron,,
mindenáron,mind,en,áron,3,mind en áron
mindenáron,minden,ár,on,2,
kínaiak,kín,ai,ak,,
érinti,ér,in,ti,,
sivatag,si,va,tag,,
partnerem,part,ne,rem,,
robinson,ro,bin,son,,
robinson,rob,in,son,,
hozzáállás,hozzá,áll,ás,2,
sittre,si,tt,re,,
hadművelet,had,művel,et,,
ugyanott,ugy,an,ott,,
államügyész,ál,lam,ügyész,,
államügyész,áll,am,ügyész,,
államügyész,állam,ügy,ész,,
maximális,maxim,ál,is,,
pamela,pa,me,la,,
sikerülne,si,kerül,ne,,
sikerülne,sik,er,ülne,,
sikerülne,siker,ül,ne,,
ügynöke,ügy,nö,ke,,
vallja,va,ll,ja,,
abraham,ab,ra,ham,,
lógott,ló,go,tt,,
halálához,halál,áh,oz,,
veterán,vet,er,án,,
saláta,sa,lá,ta,,
kezeddel,ke,zed,del,,
milyennek,mily,en,nek,2,
adatot,ad,at,ot,,
helyszínén,hely,szín,én,2,
boston,bo,st,on,,
mosolygott,mosoly,go,tt,,
halálom,hal,ál,om,,
csináljanak,csinál,ja,nak,2,
csináljanak,csinál,jan,ak,,
csináljanak,csinálj,an,ak,,
ilyesmiről,il,yes,miről,,
ilyesmiről,ily,es,miről,,
bármiről,bár,mi,ről,3,bár mi ről
papíron,pap,ír,on,,
álmában,ál,má,ban,,
rosszabbat,rossz,ab,bat,,
ártott,ár,to,tt,,
mintsem,min,ts,em,,
életről,él,et,ről,,
szabadult,szab,adu,lt,,
veheti,ve,he,ti,,
hajókat,ha,jó,kat,,
hajókat,ha,jók,at,,
amerre,am,er,re,,
fejeznem,fej,ez,nem,,
azokból,az,ok,ból,,
sakura,sa,ku,ra,,
apunak,ap,un,ak,,
terhesség,terhe,ss,ég,,
csinálna,csi,nál,na,2,
csinálna,csin,ál,na,,
egészről,eg,ész,ről,,
hazajöttem,haza,jött,em,2,
gyerekeit,gyere,ke,it,,
haverja,ha,ver,ja,,
csináljatok,csinál,ja,tok,,
csináljatok,csinálj,at,ok,,
vakmerő,va,km,erő,,
játékosok,játék,os,ok,,
miamiban,mi,ami,ban,3,mi ami ban
miamiban,mia,mi,ban,2,
eresszen,er,ess,zen,,
autókat,au,tó,kat,,
vágyott,vág,yo,tt,,
segítségemre,segítség,em,re,,
szabadlábon,szab,ad,lábon,,
szabadlábon,szabad,lá,bon,,
szabadlábon,szabad,láb,on,2,
viktor,vi,kt,or,,
valamid,va,la,mid,,
valamid,va,lam,id,,
valamid,val,am,id,,
szóljanak,szól,ja,nak,2,
szóljanak,szól,jan,ak,,
szóljanak,szólj,an,ak,,
éreztél,ér,ez,tél,,
éreztél,ér,ezt,él,,
jégkrémet,jég,krém,et,,
szemtelen,szem,tel,en,,
mindenhova,min,den,hova,,
mindenhova,mind,en,hova,3,mind en hova
mindenhova,minden,ho,va,,
szolgálatára,szolgál,at,ára,,
korrekt,kor,re,kt,2,
gondolatok,gondol,at,ok,,
telihold,te,li,hold,,
hálószoba,há,ló,szoba,,
okoznak,ok,oz,nak,,
szüleivel,szül,ei,vel,,
földszinten,föld,szint,en,2,
rakott,ra,ko,tt,,
zavarodott,zavar,odo,tt,,
önálló,ön,ál,ló,,
örökölte,örök,öl,te,,
testvéremet,te,st,véremet,,
testvéremet,test,vére,met,,
testvéremet,test,vérem,et,,
testvéremet,testvér,em,et,,
helyezni,hely,ez,ni,,
mindazonáltal,mind,azon,által,3,mind azon által
mindazonáltal,mindaz,on,által,2,
mindazonáltal,mindazon,ál,tal,,
ejteni,ej,te,ni,,
közelednek,közel,ed,nek,2,
jelentené,jelen,te,né,2,
japánok,ja,pán,ok,,
etetni,et,et,ni,,
köveket,kö,ve,ket,,
robotok,ro,bo,tok,,
robotok,ro,bot,ok,,
robotok,rob,ot,ok,,
rendjén,ren,dj,én,,
melinda,me,lin,da,,
melinda,mel,in,da,,
gondosan,gon,do,san,,
gondosan,gon,dos,an,,
gondosan,gond,os,an,,
számotokra,szám,ot,okra,,
számotokra,számot,ok,ra,,
emléket,em,lé,ket,,
nagyapja,nagy,ap,ja,,
általam,ál,ta,lam,,
általam,ál,tal,am,,
húzott,hú,zo,tt,,
mindened,min,de,ned,,
mindened,min,den,ed,,
mindened,mind,en,ed,2,
szerinti,sze,rin,ti,,
szerinti,szer,in,ti,,
járművet,jár,mű,vet,,
sherman,sh,er,man,,
tetoválás,te,to,válás,,
segítőkész,segít,ők,ész,2,
hoztalak,hoz,tal,ak,,
határokat,hat,árok,at,,
határokat,határ,ok,at,,
azokhoz,az,ok,hoz,2,
kapható,kap,ha,tó,2,
másfajta,más,faj,ta,,
mérföldes,mér,föl,des,,
mérföldes,mér,föld,es,,
fogható,fog,ha,tó,2,
haljon,ha,lj,on,2,
testén,te,st,én,2,
középiskolás,köz,ép,iskolás,,
foglaljanak,foglal,ja,nak,,
foglaljanak,foglal,jan,ak,,
foglaljanak,foglalj,an,ak,,
államokba,állam,ok,ba,2,
desszert,des,sze,rt,,
szívroham,szív,ro,ham,,
kapcsolatunkat,kapcsolat,un,kat,,
lássanak,láss,an,ak,,
várjak,vá,rj,ak,,
nőszemély,nő,sze,mély,,
versenyezni,verseny,ez,ni,,
ajtaja,aj,ta,ja,,
bácsikád,bá,csi,kád,,
igazit,ig,az,it,2,
németországban,né,met,országban,,
németországban,német,ország,ban,3,német ország ban
mellettünk,me,ll,ettünk,,
szemeit,sze,me,it,,
ilyesmivel,il,yes,mivel,,
ilyesmivel,ily,es,mivel,,
desszertet,des,szert,et,,
tárgyalásra,tárgyal,ás,ra,,
tudhatta,tud,hat,ta,2,
álmaid,ál,ma,id,,
ismerned,is,mer,ned,,
jelenléte,jelen,lé,te,2,
bántottam,bánt,ot,tam,,
bántottam,bánt,ott,am,,
értenie,ér,ten,ie,,
értenie,ért,en,ie,2,
akinél,ak,in,él,,
ennivalót,en,ni,valót,,
üzeneted,üzen,et,ed,,
fejedre,fe,je,dre,,
fejedre,fe,jed,re,,
fejedre,fej,ed,re,,
látszanak,látsz,an,ak,,
kamion,ka,mi,on,2,
bilincset,bi,linc,set,,
udvariatlan,udvari,at,lan,,
ugyanazzal,ugy,an,azzal,,
karakter,kara,kt,er,,
lépjenek,lép,je,nek,,
emléke,em,lé,ke,,
autóból,au,tó,ból,,
talállak,tal,áll,ak,,
partnere,part,ne,re,,
theresa,the,re,sa,2,
tehetett,te,he,tett,2,
tehetett,te,hete,tt,,
érzéseimet,érzés,ei,met,,
érzéseimet,érzése,im,et,,
crystal,cry,st,al,,
mindazok,mind,az,ok,2,
édesapám,édes,ap,ám,2,
láttatok,lát,ta,tok,,
sookie,so,ok,ie,,
kérdezzen,kérd,ez,zen,,
okosan,ok,os,an,,
gyerekkorom,gyerek,ko,rom,,
gyerekkorom,gyerek,kor,om,2,
unokatestvére,un,oka,testvére,,
unokatestvére,uno,ka,testvére,,
unokatestvére,unoka,test,vére,,
annyival,ann,yi,val,,
sierra,si,er,ra,,
totális,to,tál,is,,
raktárba,rak,tár,ba,,
sikerülhet,sik,er,ülhet,,
egészből,eg,ész,ből,,
milliomos,milli,om,os,,
szemtanúja,szem,tanú,ja,,
vártalak,vá,rt,alak,,
vártalak,vár,tal,ak,,
vártalak,várt,al,ak,,
pontokat,pont,ok,at,,
másikban,má,sik,ban,,
esélytelen,esély,tel,en,,
valakihez,val,aki,hez,3,val aki hez
szívedben,szíve,db,en,,
légierő,lé,gi,erő,,
figyelmemet,figyel,me,met,,
kényszerítette,kényszerít,et,te,,
anyukádnak,anyu,kád,nak,,
garancia,ga,ran,cia,,
valóságot,valós,ág,ot,,
nagybátyja,nagy,báty,ja,,
életemmel,élet,em,mel,,
hatalmát,ha,tal,mát,,
hatalmát,hat,al,mát,,
közölte,köz,öl,te,,
ténylegesen,tényleg,es,en,2,
vállalok,váll,al,ok,,
kétségbeesetten,kétségbe,eset,ten,,
kétségbeesetten,kétségbe,esett,en,2,
kezdettől,kezd,et,től,2,
számítottál,számít,ot,tál,,
számítottál,számít,ott,ál,2,
apámtól,ap,ám,tól,2,
jeannie,je,ann,ie,,
okoztál,ok,oz,tál,,
karrier,kar,ri,er,,
igazak,ig,az,ak,2,
napokat,na,po,kat,,
napokat,nap,ok,at,,
jogait,jo,ga,it,,
fogadhatom,fog,adhat,om,,
fogadhatom,fogad,ha,tom,2,
fogadhatom,fogad,hat,om,,
barátnőmmel,barát,nőm,mel,,
addison,ad,di,son,,
addison,add,is,on,2,
menekülsz,me,nek,ülsz,,
kezdenem,kezd,en,em,2,
részletesen,részlet,es,en,,
remélve,rem,él,ve,,
vállalta,váll,al,ta,,
vártok,vá,rt,ok,,
őröket,őr,ök,et,,
hívjalak,hívj,al,ak,,
képtelenek,kép,tele,nek,3,kép tele nek
hiteles,hi,tel,es,,
számítógépet,számító,gép,et,,
magamért,ma,ga,mért,,
magamért,mag,am,ért,,
mondatot,mond,at,ot,,
kedvesebb,kedve,se,bb,,
tönkretettem,tönkre,tett,em,,
ajánlotta,ajánl,ot,ta,,
őszintének,ősz,int,ének,,
fussatok,fuss,at,ok,,
határidő,ha,tár,idő,2,
határidő,hat,ár,idő,2,
követed,kö,ve,ted,,
követed,kö,vet,ed,,
figyelemmel,figyel,em,mel,,
tettest,te,tt,est,,
fejezte,fej,ez,te,,
hidegen,hi,de,gen,,
buliban,bu,li,ban,,
alexis,al,ex,is,,
halotti,hal,ot,ti,,
kétségtelen,kétség,tel,en,,
ilyenre,il,yen,re,,
ilyenre,ily,en,re,2,
keljen,ke,lj,en,,
lábait,lá,ba,it,,
reggelente,reggel,en,te,3,reggel en te
szuperhős,szu,per,hős,,
maguknál,mag,uk,nál,,
terápiára,te,rá,piára,2,
koktélt,ko,kt,élt,,
törvénye,tör,vén,ye,,
vádolnak,vá,dol,nak,,
érdekesebb,érdeke,se,bb,,
napokon,nap,ok,on,2,
ugyanarra,ugy,an,arra,,
korlátozott,korlát,oz,ott,,
taxival,ta,xi,val,,
ígéretes,ígér,et,es,,
tervezed,terv,ez,ed,,
játszottak,játsz,ot,tak,,
játszottak,játsz,ott,ak,,
százezer,száz,ez,er,,
veszekedés,veszek,ed,és,,
vállaltam,váll,al,tam,,
vállaltam,váll,alt,am,,
vállaltam,válla,lt,am,,
ismertelek,is,mer,telek,,
egyetemet,egye,te,met,,
egyetemet,egyet,em,et,,
keverni,ke,ver,ni,,
keverni,kev,er,ni,,
olyanra,oly,an,ra,,
ugyebár,ugy,eb,ár,,
ösztöndíjat,ösztön,díj,at,,
hallban,ha,ll,ban,2,
továbblépni,tovább,lép,ni,,
normálisnak,normál,is,nak,2,
erkölcstelen,erkölcs,tel,en,,
hazaviszem,haza,vi,szem,,
hazaviszem,haza,visz,em,,
unokahúgom,un,oka,húgom,,
unokahúgom,uno,ka,húgom,,
seggedet,segg,ed,et,,
célpontja,cél,pont,ja,,
burton,bu,rt,on,,
születésnapom,születés,nap,om,,
robbanni,rob,ban,ni,,
láthatta,lá,that,ta,,
láthatta,lát,hat,ta,,
házakat,há,zak,at,,
házakat,ház,ak,at,,
unokaöccse,un,oka,öccse,,
unokaöccse,uno,ka,öccse,,
marissa,mar,is,sa,,
támadások,támad,ás,ok,,
golyóálló,golyó,ál,ló,,
abbahagyta,ab,ba,hagyta,,
abbahagyta,abba,hagy,ta,,
milliárdos,milli,ár,dos,,
zuhanyozni,zuhany,oz,ni,,
használhatod,használ,ha,tod,,
mainwaring,main,wa,ring,,
mainwaring,main,war,ing,,
játszotta,játsz,ot,ta,,
hitelkártya,hi,tel,kártya,,
hitelkártya,hitel,kárt,ya,,
mindenhez,min,den,hez,,
mindenhez,mind,en,hez,3,mind en hez
nyugodni,nyu,god,ni,,
modellt,mo,del,lt,,
állomást,ál,lo,mást,,
kérdésed,kérd,és,ed,,
hátamon,há,ta,mon,,
hátamon,há,tam,on,,
hátamon,hát,am,on,2,
szálljanak,száll,ja,nak,,
szálljanak,száll,jan,ak,,
szálljanak,szállj,an,ak,,
pszichológus,pszicho,ló,gus,,
pszichológus,pszicho,lóg,us,,
károkat,kár,ok,at,,
csapatokat,csapat,ok,at,,
rangidős,rang,id,ős,,
érdekeset,ér,deke,set,,
érdekeset,érdek,es,et,,
istenemre,isten,em,re,2,
mutatod,mu,ta,tod,,
tartalak,ta,rt,alak,,
tartalak,tart,al,ak,,
simone,si,mo,ne,,
kabátod,ka,bá,tod,,
anyukáddal,anyu,kád,dal,,
tökéletesek,tök,élet,esek,,
színházban,szín,ház,ban,2,
választanom,válasz,tan,om,,
választanom,választ,an,om,,
nemigen,ne,mi,gen,,
nemigen,ne,mig,en,,
nemigen,nem,ig,en,3,nem ig en
munkának,mun,kán,ak,,
dallas,da,ll,as,,
menekülés,me,nek,ülés,,
fenének,fe,né,nek,,
rejtette,re,jt,ette,,
rejtette,rejt,et,te,,
emberölés,ember,öl,és,2,
társaságában,tár,sas,ágában,,
társaságában,társ,as,ágában,,
teremteni,terem,te,ni,,
chester,che,st,er,,
pihenésre,pihen,és,re,2,
birtok,bi,rt,ok,,
papírmunkát,pap,ír,munkát,,
örömömre,öröm,öm,re,,
térképen,tér,ké,pen,,
térképen,tér,kép,en,3,tér kép en
apámról,ap,ám,ról,2,
abbahagytam,ab,ba,hagytam,,
abbahagytam,abba,hagy,tam,,
robbantani,robban,ta,ni,,
tudnálak,tud,nál,ak,2,
emberiséget,ember,is,éget,2,
ágyamban,ágy,am,ban,,
központot,köz,pont,ot,,
hajtani,haj,ta,ni,,
mentség,men,ts,ég,,
tudomásom,tu,do,másom,,
tudomásom,tudom,ás,om,,
baromira,ba,ro,mira,,
baromira,ba,rom,ira,,
baromira,bar,om,ira,,
kokaint,ko,ka,int,,
időpontja,idő,pont,ja,2,
lakásomban,lakás,om,ban,2,
adatbázisban,adat,bázis,ban,,
valamennyit,va,la,mennyit,,
valamennyit,va,lam,ennyit,,
valamennyit,val,am,ennyit,2,
valamennyit,val,amen,nyit,,
valamennyit,vala,men,nyit,,
valamennyit,vala,menny,it,,
juliet,ju,li,et,,
kapunál,kap,un,ál,,
menekültek,me,nek,ültek,,
történetem,történ,et,em,,
általa,ál,ta,la,,
láttok,lá,tt,ok,,
szemüveget,szem,üveg,et,,
szívtelen,szív,tel,en,,
magatok,ma,ga,tok,,
magatok,mag,at,ok,,
lorenzo,lo,ren,zo,,
onnantól,onn,an,tól,,
hálószobában,há,ló,szobában,,
testben,te,stb,en,2,
manhattan,man,hat,tan,,
mondanivalóm,mon,dani,valóm,,
mondanivalóm,monda,ni,valóm,,
fedezni,fed,ez,ni,,
rendszere,rend,sze,re,,
végrehajtani,vég,re,hajtani,,
hitelt,hi,te,lt,,
ugyanazokat,ugy,an,azokat,,
ugyanazokat,ugyan,azok,at,2,
ugyanazokat,ugyanaz,ok,at,,
éreznek,ér,ez,nek,,
mindkettőjüket,mind,kettőjük,et,,
homokos,ho,mo,kos,,
élethez,él,et,hez,,
láthassam,lát,has,sam,,
babylon,ba,by,lon,,
védtelen,véd,tel,en,,
veheted,ve,he,ted,,
aranyosak,arany,os,ak,,
fivérem,fi,vér,em,,
iratokat,ira,to,kat,,
iratokat,ira,tok,at,,
iratokat,irat,ok,at,,
vesztegetni,veszteg,et,ni,,
tartva,ta,rt,va,,
faszkalap,fasz,ka,lap,,
faszkalap,fasz,kal,ap,,
nőttél,nő,tt,él,,
sofőrt,so,fő,rt,,
nagyanyám,nagy,any,ám,2,
joanna,jo,an,na,,
marion,ma,ri,on,,
nyakkendőt,nyak,kend,őt,,
robban,ro,bb,an,,
hatkor,ha,tk,or,,
rohama,ro,ha,ma,,
tanárom,tan,ár,om,,
patricia,pat,ri,cia,,
autóbalesetben,au,tó,balesetben,,
autóbalesetben,autó,bal,esetben,3,autó bal esetben
hatott,ha,to,tt,,
futball,fu,tb,all,,
futball,fut,ba,ll,,
találnia,tal,ál,nia,,
preston,pr,es,ton,,
preston,pr,est,on,,
csapatból,csa,pat,ból,,
csapatból,csap,at,ból,,
tiltja,ti,lt,ja,,
anyukádat,an,yu,kádat,,
anyukádat,anyu,kád,at,,
laktam,la,kt,am,,
peterson,pet,er,son,,
túszokat,túsz,ok,at,,
sietni,si,et,ni,,
akadályozni,akadály,oz,ni,,
érzelmeket,érzel,me,ket,,
háromig,há,ro,mig,,
háromig,há,rom,ig,,
háromig,hár,om,ig,,
hálaadást,há,la,adást,,
fogadj,fo,ga,dj,,
bocsássa,bocs,ás,sa,,
veszteni,vesz,te,ni,2,
tűnődöm,tű,nőd,öm,,
egyetértesz,egy,et,értesz,,
egyetértesz,egye,tér,tesz,2,
egyetértesz,egye,tért,esz,,
egyetértesz,egyet,ér,tesz,2,
egyetértesz,egyet,ért,esz,2,
részeges,ré,szeg,es,,
részeges,rész,eg,es,,
hungarian,hung,ari,an,,
hétkor,hé,tk,or,,
szakítottál,szakít,ot,tál,,
szakítottál,szakít,ott,ál,,
magukhoz,mag,uk,hoz,,
titkosszolgálat,titkos,szolgál,at,,
frankenstein,fran,ken,stein,,
frankenstein,frank,en,stein,,
kosárlabda,ko,sár,labda,,
kosárlabda,kos,ár,labda,,
emlékei,em,lé,kei,,
terveznek,terv,ez,nek,2,
hallottatok,hallott,at,ok,,
veszélyesebb,veszélye,se,bb,,
pokolból,po,kol,ból,,
tanácsokat,tanács,ok,at,,
cassandra,cas,sand,ra,,
cassandra,cass,and,ra,2,
hajjal,ha,jj,al,,
személynek,sze,mély,nek,,
későbbre,késő,bb,re,,
kabátom,ka,bá,tom,,
okozok,ok,oz,ok,,
csapást,csa,pá,st,,
zajlott,zaj,lo,tt,,
épületből,épül,et,ből,,
tengerészgyalogos,tenger,ész,gyalogos,,
tengerészgyalogos,tengerész,gyalog,os,,
mindhárom,mind,há,rom,,
mindhárom,mind,hár,om,,
hármasban,hár,mas,ban,,
képviselője,kép,viselő,je,,
magadért,mag,ad,ért,,
postás,po,st,ás,,
magányosan,magán,yo,san,,
magányosan,magány,os,an,,
drogokat,drog,ok,at,,
segítségem,segíts,ég,em,,
kartell,kar,te,ll,,
teherautót,te,her,autót,,
lapokat,la,po,kat,,
lapokat,lap,ok,at,,
millie,mi,ll,ie,,
orvossal,or,voss,al,,
vessen,ve,ss,en,,
hétvégi,hé,tv,égi,,
ablakokat,ab,lakok,at,,
ablakokat,ablak,ok,at,,
alkotott,al,koto,tt,,
hevesen,he,ve,sen,,
potter,po,tt,er,,
deacon,de,ac,on,2,
labort,la,bo,rt,,
rajtatok,raj,ta,tok,,
rajtatok,rajt,at,ok,,
bogarak,bo,ga,rak,,
másokra,má,sok,ra,2,
másokra,más,ok,ra,2,
érdekeit,ér,deke,it,,
miatti,mi,at,ti,2,
egészhez,eg,ész,hez,,
bűntett,bűn,te,tt,,
javasol,ja,va,sol,,
létezni,lét,ez,ni,,
sterling,st,er,ling,,
kapcsolatai,kapcsol,at,ai,,
keletkezett,kelet,keze,tt,,
feketét,fe,ke,tét,,
szüleinek,szül,ei,nek,,
hasonlítanak,hasonlít,an,ak,,
sabrina,sa,bri,na,,
kerékvágásba,kerék,vágás,ba,,
háromkor,há,rom,kor,,
háromkor,hár,om,kor,,
anyagokat,anya,go,kat,,
anyagokat,anyag,ok,at,,
tárgyakat,tárgy,ak,at,,
szálakat,szál,ak,at,,
mondanivalója,mon,dani,valója,,
mondanivalója,monda,ni,valója,,
mondanivalója,mondani,való,ja,2,
tartottad,tart,ot,tad,,
tartottad,tart,ott,ad,2,
keressenek,keres,se,nek,3,keres se nek
világegyetem,világ,egyet,em,2,
mellkasi,mell,ka,si,,
viheted,vi,he,ted,,
határok,ha,tár,ok,,
határok,hat,ár,ok,,
szememet,sze,me,met,,
szememet,szem,em,et,,
washingtoni,wa,shing,toni,,
washingtoni,wash,ing,toni,,
generátor,gene,rá,tor,,
jópofa,jó,po,fa,,
németül,né,met,ül,,
okosnak,ok,os,nak,,
papírmunka,pap,ír,munka,,
papírmunka,papír,mun,ka,,
kalapács,ka,lap,ács,,
kalapács,kal,ap,ács,,
natasha,na,ta,sha,,
natasha,nat,as,ha,,
dominic,do,mi,nic,,
autópályán,au,tó,pályán,,
karriered,kar,ri,ered,,
heroint,he,ro,int,,
arcomba,arc,om,ba,,
fiatalúr,fia,tal,úr,,
fiatalúr,fiat,al,úr,,
fejével,fe,jé,vel,,
munkahelyen,mun,ka,helyen,,
munkahelyen,munka,hel,yen,,
munkahelyen,munka,hely,en,3,munka hely en
fogadjuk,fog,adj,uk,,
fogadjuk,foga,dj,uk,,
évszázadok,év,száz,adok,,
évszázadok,év,század,ok,,
texasban,tex,as,ban,,
lőttél,lő,tt,él,,
csinálhatod,csinál,ha,tod,2,
ügyeletes,ügyel,et,es,,
iskolás,is,kol,ás,,
állítanom,állít,an,om,,
illatod,il,la,tod,,
kérésem,ké,ré,sem,2,
kérésem,ké,rés,em,,
kérésem,kér,és,em,,
fájdalmát,fáj,dal,mát,2,
tengerparti,tenger,par,ti,,
bűntudatom,bűn,tud,atom,,
bűntudatom,bűn,tudat,om,,
eszközöket,esz,köz,öket,,
eszközöket,eszköz,ök,et,,
híresség,hír,ess,ég,,
híresség,híre,ss,ég,,
alakja,al,ak,ja,,
csomagtartóban,csomag,tartó,ban,2,
könyvtárba,könyv,tár,ba,2,
kapcsolatuk,kapcsol,at,uk,,
földjén,föl,dj,én,,
akadva,ak,ad,va,,
buster,bu,st,er,,
központja,köz,pont,ja,,
marina,ma,ri,na,,
billie,bi,ll,ie,,
okozhatta,okoz,hat,ta,,
azokért,az,ok,ért,2,
azokért,az,oké,rt,2,
izgatottak,izgat,ot,tak,,
izgatottak,izgat,ott,ak,,
autópálya,au,tó,pálya,,
autópálya,autó,pál,ya,2,
csinálhatok,csinál,ha,tok,2,
csinálhatok,csinál,hat,ok,2,
kereket,ke,re,ket,,
telefonomat,telefon,om,at,,
barátnődet,barát,nőd,et,,
váltál,vá,lt,ál,,
okozna,ok,oz,na,,
intézve,int,éz,ve,,
jerome,je,ro,me,,
falatot,fal,at,ot,,
hollywoodi,holly,woo,di,,
rendszerint,rend,szer,int,,
aggódjanak,aggódj,an,ak,,
hófehérke,hó,fehér,ke,,
vállal,vá,ll,al,,
csapott,csa,po,tt,,
semminek,sem,mi,nek,3,sem mi nek
szemedben,szeme,db,en,,
szakítottak,szakít,ot,tak,,
szakítottak,szakít,ott,ak,,
tizenhat,ti,zen,hat,2,
fejfájás,fej,fáj,ás,,
helyszínről,hely,szín,ről,2,
madarakat,ma,da,rakat,,
madarakat,mad,ara,kat,,
partot,pa,rt,ot,,
abbahagyom,ab,ba,hagyom,,
abbahagyom,abba,hagy,om,,
fusson,fu,ss,on,,
hajtja,ha,jt,ja,,
hazamentem,haza,ment,em,2,
ismerősöm,ismer,ős,öm,,
váltságdíjat,válts,ág,díjat,,
santiago,san,tia,go,,
kezdődjön,kezdő,dj,ön,,
tudatom,tu,da,tom,,
